added,edges,eigenvalues,span_trees
"(3, 12, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 10), (0, 13), (1, 5), (2, 11), (3, 12), (4, 6), (4, 7), (4, 8), (4, 9), (4, 14), (8, 12)]","[ 7.79195858e+00  6.11531565e+00  3.29731769e+00  2.61803399e+00
  2.37054493e+00  1.86152597e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  7.31206762e-01  5.74725342e-01
  3.81966011e-01  2.57405084e-01 -1.12512866e-16]",5
"(3, 4, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 10), (0, 13), (1, 5), (2, 11), (3, 4), (4, 6), (4, 7), (4, 8), (4, 9), (4, 14), (8, 12)]","[8.31939351e+00 6.62136194e+00 2.61803399e+00 2.53860931e+00
 2.42064335e+00 1.70057613e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 6.76879245e-01 4.83848981e-01
 3.81966011e-01 2.38687533e-01 4.30496108e-16]",3
"(3, 11, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 10), (0, 13), (1, 5), (2, 11), (3, 11), (4, 6), (4, 7), (4, 8), (4, 9), (4, 14), (8, 12)]","[7.80180485e+00 6.11421304e+00 3.22134870e+00 2.50997809e+00
 2.44370036e+00 2.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 7.97565153e-01 4.90665102e-01
 4.32794254e-01 1.87930450e-01 9.02145218e-16]",4
"(3, 14, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 10), (0, 13), (1, 5), (2, 11), (3, 14), (4, 6), (4, 7), (4, 8), (4, 9), (4, 14), (8, 12)]","[7.83620316e+00 6.07582516e+00 2.89341434e+00 2.61803399e+00
 2.47584194e+00 2.33271670e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 6.64133757e-01 4.90244923e-01
 3.81966011e-01 2.31620018e-01 3.84599194e-16]",4
"(3, 6, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 10), (0, 13), (1, 5), (2, 11), (3, 6), (4, 6), (4, 7), (4, 8), (4, 9), (4, 14), (8, 12)]","[ 7.83620316e+00  6.07582516e+00  2.89341434e+00  2.61803399e+00
  2.47584194e+00  2.33271670e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.64133757e-01  4.90244923e-01
  3.81966011e-01  2.31620018e-01 -1.39879543e-15]",4
"(3, 13, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 10), (0, 13), (1, 5), (2, 11), (3, 13), (4, 6), (4, 7), (4, 8), (4, 9), (4, 14), (8, 12)]","[7.78235512e+00 6.07580273e+00 3.00000000e+00 2.61803399e+00
 2.50537232e+00 2.36992467e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 5.99680776e-01 4.82035000e-01
 3.81966011e-01 1.84829392e-01 7.81508347e-17]",3
"(3, 5, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 10), (0, 13), (1, 5), (2, 11), (3, 5), (4, 6), (4, 7), (4, 8), (4, 9), (4, 14), (8, 12)]","[ 7.80180485e+00  6.11421304e+00  3.22134870e+00  2.50997809e+00
  2.44370036e+00  2.00000000e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  7.97565153e-01  4.90665102e-01
  4.32794254e-01  1.87930450e-01 -2.11470744e-16]",4
"(3, 8, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 10), (0, 13), (1, 5), (2, 11), (3, 8), (4, 6), (4, 7), (4, 8), (4, 9), (4, 14), (8, 12)]","[ 7.85000273e+00  6.07889170e+00  3.68231508e+00  2.61803399e+00
  2.38463315e+00  1.54253430e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.74162945e-01  5.25371298e-01
  3.81966011e-01  2.62088800e-01 -1.59278653e-15]",4
"(4, 13, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 10), (0, 13), (1, 5), (2, 11), (4, 6), (4, 7), (4, 8), (4, 9), (4, 14), (4, 13), (8, 12)]","[8.31939351e+00 6.62136194e+00 2.61803399e+00 2.53860931e+00
 2.42064335e+00 1.70057613e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 6.76879245e-01 4.83848981e-01
 3.81966011e-01 2.38687533e-01 4.53527513e-16]",3
"(4, 10, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 10), (0, 13), (1, 5), (2, 11), (4, 6), (4, 7), (4, 8), (4, 9), (4, 14), (4, 10), (8, 12)]","[8.31939351e+00 6.62136194e+00 2.61803399e+00 2.53860931e+00
 2.42064335e+00 1.70057613e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 6.76879245e-01 4.83848981e-01
 3.81966011e-01 2.38687533e-01 6.32076203e-16]",3
