added,edges,eigenvalues,span_trees
"(6, 14, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (6, 14), (11, 12)]","[1.32713870e+01+0.00000000e+00j 1.17354339e+01+0.00000000e+00j
 8.19135703e+00+0.00000000e+00j 5.21153924e+00+0.00000000e+00j
 4.75880983e+00+0.00000000e+00j 2.93803152e+00+0.00000000e+00j
 2.00000000e+00+3.07518159e-16j 2.00000000e+00-3.07518159e-16j
 2.00000000e+00+0.00000000e+00j 2.00000000e+00+0.00000000e+00j
 1.51896948e+00+0.00000000e+00j 1.25155569e+00+0.00000000e+00j
 7.94882915e-01+0.00000000e+00j 3.28033310e-01+0.00000000e+00j
 6.88536387e-18+0.00000000e+00j]",49152
"(6, 12, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (6, 12), (11, 12)]","[ 1.32652624e+01  1.17151077e+01  8.12841395e+00  5.72090675e+00
  4.61969588e+00  2.00000000e+00  2.00000000e+00  2.00000000e+00
  2.00000000e+00  2.00000000e+00  2.00000000e+00  1.32116628e+00
  8.85220802e-01  3.44226244e-01 -4.52403374e-16]",57344
"(7, 12, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (7, 12), (11, 12)]","[1.32807850e+01 1.17263222e+01 8.15410806e+00 5.41494899e+00
 4.57487763e+00 2.99010866e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 2.00000000e+00 1.49539110e+00 1.25740933e+00
 5.96432053e-01 5.09617070e-01 8.85398967e-16]",57344
"(7, 14, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (7, 14), (11, 12)]","[ 1.32630069e+01  1.18017903e+01  8.11850972e+00  4.97859751e+00
  4.56643769e+00  3.64907673e+00  2.00000000e+00  2.00000000e+00
  2.00000000e+00  2.00000000e+00  1.48430782e+00  1.08265377e+00
  6.08960999e-01  4.46658571e-01 -1.13395382e-15]",49152
"(7, 13, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (7, 13), (11, 12)]","[ 1.32630069e+01  1.18017903e+01  8.11850972e+00  4.97859751e+00
  4.56643769e+00  3.64907673e+00  2.00000000e+00  2.00000000e+00
  2.00000000e+00  2.00000000e+00  1.48430782e+00  1.08265377e+00
  6.08960999e-01  4.46658571e-01 -7.84579922e-16]",49152
"(7, 8, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (7, 8), (11, 12)]","[1.32630069e+01 1.18017903e+01 8.11850972e+00 4.97859751e+00
 4.56643769e+00 3.64907673e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 2.00000000e+00 1.48430782e+00 1.08265377e+00
 6.08960999e-01 4.46658571e-01 3.52294277e-16]",49152
"(7, 10, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (7, 10), (11, 12)]","[ 1.32629721e+01  1.17135930e+01  8.11836407e+00  4.94881194e+00
  4.56203487e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  2.00000000e+00  2.00000000e+00  1.48359970e+00  1.01390684e+00
  5.95744622e-01  3.00972793e-01 -1.32646946e-15]",32768
"(7, 9, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (7, 9), (11, 12)]","[ 1.33058249e+01  1.17377305e+01  8.14118326e+00  4.95142428e+00
  4.67730943e+00  3.45495558e+00  2.00000000e+00  2.00000000e+00
  2.00000000e+00  2.00000000e+00  1.73169960e+00  1.01866484e+00
  6.54084360e-01  3.27123244e-01 -4.22350722e-16]",40960
"(8, 13, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (8, 13), (11, 12)]","[ 1.32629721e+01  1.17135930e+01  8.11836407e+00  4.94881194e+00
  4.56203487e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  2.00000000e+00  2.00000000e+00  1.48359970e+00  1.01390684e+00
  5.95744622e-01  3.00972793e-01 -1.02081244e-15]",32768
"(8, 10, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (8, 10), (11, 12)]","[1.32630069e+01 1.18017903e+01 8.11850972e+00 4.97859751e+00
 4.56643769e+00 3.64907673e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 2.00000000e+00 1.48430782e+00 1.08265377e+00
 6.08960999e-01 4.46658571e-01 1.58308717e-16]",49152
"(8, 12, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (8, 12), (11, 12)]","[1.32825207e+01 1.17477417e+01 8.14856954e+00 5.25831411e+00
 4.57008400e+00 3.13146906e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 2.00000000e+00 1.54024004e+00 1.41277218e+00
 6.01844605e-01 3.06444062e-01 1.49141220e-16]",40960
"(8, 9, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (8, 9), (11, 12)]","[1.33081382e+01 1.17327671e+01 8.14503141e+00 4.99981341e+00
 4.62900486e+00 3.43653116e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 2.00000000e+00 1.75930337e+00 1.03183789e+00
 6.20599434e-01 3.36973238e-01 9.43107159e-16]",40960
"(8, 14, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (8, 14), (11, 12)]","[ 1.32629721e+01  1.17135930e+01  8.11836407e+00  4.94881194e+00
  4.56203487e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  2.00000000e+00  2.00000000e+00  1.48359970e+00  1.01390684e+00
  5.95744622e-01  3.00972793e-01 -2.38778301e-15]",32768
"(9, 14, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (9, 14), (11, 12)]","[ 1.33081382e+01  1.17327671e+01  8.14503141e+00  4.99981341e+00
  4.62900486e+00  3.43653116e+00  2.00000000e+00  2.00000000e+00
  2.00000000e+00  2.00000000e+00  1.75930337e+00  1.03183789e+00
  6.20599434e-01  3.36973238e-01 -5.14393954e-16]",40960
"(9, 12, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (9, 12), (11, 12)]","[ 1.32684403e+01  1.17156622e+01  8.23538121e+00  5.41621446e+00
  4.56792559e+00  2.58209799e+00  2.00000000e+00  2.00000000e+00
  2.00000000e+00  2.00000000e+00  2.00000000e+00  1.20322131e+00
  6.51874743e-01  3.59182186e-01 -3.58560141e-16]",49152
"(9, 10, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (9, 10), (11, 12)]","[1.33058249e+01 1.17377305e+01 8.14118326e+00 4.95142428e+00
 4.67730943e+00 3.45495558e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 2.00000000e+00 1.73169960e+00 1.01866484e+00
 6.54084360e-01 3.27123244e-01 3.73724806e-17]",40960
"(9, 13, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (9, 13), (11, 12)]","[1.33081382e+01 1.17327671e+01 8.14503141e+00 4.99981341e+00
 4.62900486e+00 3.43653116e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 2.00000000e+00 1.75930337e+00 1.03183789e+00
 6.20599434e-01 3.36973238e-01 6.40163986e-16]",40960
"(10, 13, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (10, 13), (11, 12)]","[1.32630069e+01 1.18017903e+01 8.11850972e+00 4.97859751e+00
 4.56643769e+00 3.64907673e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 2.00000000e+00 1.48430782e+00 1.08265377e+00
 6.08960999e-01 4.46658571e-01 1.16986258e-15]",49152
"(10, 14, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (10, 14), (11, 12)]","[1.32630069e+01 1.18017903e+01 8.11850972e+00 4.97859751e+00
 4.56643769e+00 3.64907673e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 2.00000000e+00 1.48430782e+00 1.08265377e+00
 6.08960999e-01 4.46658571e-01 4.96775338e-16]",49152
"(10, 12, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (10, 12), (11, 12)]","[ 1.32807850e+01  1.17263222e+01  8.15410806e+00  5.41494899e+00
  4.57487763e+00  2.99010866e+00  2.00000000e+00  2.00000000e+00
  2.00000000e+00  2.00000000e+00  1.49539110e+00  1.25740933e+00
  5.96432053e-01  5.09617070e-01 -7.07619258e-16]",57344
"(12, 14, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (11, 12), (12, 14)]","[1.32825207e+01 1.17477417e+01 8.14856954e+00 5.25831411e+00
 4.57008400e+00 3.13146906e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 2.00000000e+00 1.54024004e+00 1.41277218e+00
 6.01844605e-01 3.06444062e-01 1.21875288e-15]",40960
"(12, 13, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (11, 12), (12, 13)]","[ 1.32825207e+01  1.17477417e+01  8.14856954e+00  5.25831411e+00
  4.57008400e+00  3.13146906e+00  2.00000000e+00  2.00000000e+00
  2.00000000e+00  2.00000000e+00  1.54024004e+00  1.41277218e+00
  6.01844605e-01  3.06444062e-01 -1.83570249e-16]",40960
"(13, 14, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (11, 12), (13, 14)]","[ 1.32629721e+01  1.17135930e+01  8.11836407e+00  4.94881194e+00
  4.56203487e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  2.00000000e+00  2.00000000e+00  1.48359970e+00  1.01390684e+00
  5.95744622e-01  3.00972793e-01 -9.18023753e-16]",32768
