basic_graph_collector,basic_span_collector,correct_span_collector,correct_edge_collector,algorithm_span_collector,algorithm_edge_collector,algorithm_time,improved_algorithm_span_collector,improved_algorithm_edge_collector,improved_algorithm_time,algorithm_1_span_collector,algorithm_1_edge_collector,algorithm_1_time
"[(0, 2), (0, 3), (0, 4), (0, 5), (0, 8), (1, 2), (1, 7), (1, 9), (2, 3), (2, 4), (2, 8), (3, 6), (3, 7), (3, 9), (4, 5), (4, 6), (5, 7), (6, 9), (8, 9)]",1178,17105,"[((1, 9, 1), (1, 7, 1), (8, 9, 1))]",17105,"[(1, 7), (8, 9), (1, 9)]",0.010016441345214844,17105,"[(1, 9), (1, 7), (8, 9)]",0.3810758590698242,14782,"{(8, 9), (6, 7), (1, 9)}",0.14992570877075195
"[(0, 2), (0, 6), (0, 8), (1, 2), (1, 3), (1, 4), (1, 5), (1, 9), (2, 3), (2, 4), (2, 5), (3, 9), (3, 7), (4, 7), (4, 8), (5, 6), (5, 7), (5, 8), (6, 9)]",1444,17298,"[((0, 8, 1), (6, 9, 1), (7, 9, 1))]",17108,"[(0, 8), (6, 9), (3, 7)]",0.024780750274658203,17298,"[(6, 9), (0, 8), (7, 9)]",0.37958192825317383,12086,"{(0, 1), (6, 9), (2, 7)}",0.13207316398620605
"[(0, 2), (0, 7), (0, 8), (1, 2), (1, 3), (1, 5), (1, 8), (2, 3), (2, 4), (2, 6), (3, 4), (3, 5), (3, 7), (3, 9), (4, 9), (5, 6), (5, 8), (5, 9), (6, 7)]",1069,15528,"[((0, 7, 1), (0, 9, 1), (4, 8, 1))]",15173,"[(0, 7), (0, 8), (4, 9)]",0.01756906509399414,15173,"[(0, 8), (0, 7), (4, 9)]",0.24971699714660645,14948,"{(0, 9), (4, 7), (0, 8)}",0.14569425582885742
"[(0, 2), (0, 4), (0, 5), (1, 2), (1, 3), (1, 4), (1, 6), (1, 9), (2, 3), (2, 5), (2, 6), (2, 8), (3, 9), (3, 7), (4, 7), (4, 8), (5, 8), (6, 7), (8, 9)]",1628,16972,"[((5, 9, 1), (7, 8, 1), (7, 9, 1))]",16144,"[(8, 9), (3, 7), (4, 8)]",0.025365352630615234,16972,"[(7, 8), (5, 9), (7, 9)]",0.3833620548248291,14652,"{(6, 9), (5, 7), (7, 8)}",0.13303303718566895
"[(0, 2), (0, 3), (0, 5), (0, 6), (1, 2), (1, 4), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 9), (3, 8), (4, 7), (5, 9), (6, 8), (6, 9), (7, 8)]",1508,15699,"[((4, 9, 1), (5, 8, 1), (7, 8, 1))]",14664,"[(7, 8), (5, 9), (3, 8)]",0.023792266845703125,15429,"[(7, 9), (5, 8), (7, 8)]",0.2637510299682617,12895,"{(0, 1), (5, 7), (7, 9)}",0.12468981742858887
"[(0, 2), (0, 3), (0, 5), (0, 6), (0, 7), (0, 8), (1, 2), (1, 3), (1, 4), (1, 5), (1, 9), (2, 7), (3, 4), (3, 6), (3, 8), (4, 7), (5, 9), (6, 9), (8, 9)]",1552,15879,"[((2, 6, 1), (7, 9, 1), (8, 9, 1))]",15756,"[(8, 9), (2, 7), (6, 9)]",0.020992279052734375,15756,"[(8, 9), (2, 7), (6, 9)]",0.24463558197021484,14145,"{(2, 7), (6, 9), (5, 7)}",0.1038823127746582
"[(0, 2), (0, 4), (0, 5), (0, 6), (0, 8), (1, 2), (1, 3), (1, 7), (1, 9), (2, 3), (2, 4), (2, 9), (3, 6), (4, 5), (4, 7), (4, 8), (5, 9), (6, 7), (8, 9)]",1532,17101,"[((3, 8, 1), (5, 9, 1), (6, 7, 1))]",16782,"[(8, 9), (6, 7), (5, 9)]",0.006711006164550781,17101,"[(8, 9), (6, 7), (3, 5)]",0.23940277099609375,12756,"{(8, 9), (5, 7), (2, 7)}",0.12254118919372559
"[(0, 2), (0, 3), (0, 4), (0, 5), (0, 8), (0, 9), (1, 2), (1, 8), (1, 7), (2, 3), (2, 6), (3, 4), (3, 6), (4, 5), (4, 7), (4, 8), (5, 7), (5, 9), (6, 9)]",894,15499,"[((1, 9, 1), (1, 8, 1), (6, 7, 1))]",15441,"[(1, 8), (1, 7), (6, 9)]",0.010901212692260742,15441,"[(1, 7), (6, 9), (1, 8)]",0.2525928020477295,15441,"{(6, 9), (1, 8), (1, 7)}",0.1214601993560791
"[(0, 2), (0, 8), (0, 4), (1, 2), (1, 3), (1, 6), (1, 8), (1, 9), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 9), (3, 4), (3, 5), (5, 8), (6, 7), (7, 9)]",941,12181,"[((0, 7, 1), (0, 8, 1), (4, 9, 1))]",12036,"[(0, 8), (0, 4), (7, 9)]",0.016895294189453125,12181,"[(0, 8), (0, 7), (4, 9)]",0.12862014770507812,10403,"{(4, 7), (0, 8), (5, 7)}",0.1328296661376953
"[(0, 2), (0, 3), (0, 6), (0, 8), (1, 2), (1, 9), (1, 6), (2, 3), (2, 4), (2, 5), (2, 7), (3, 4), (3, 6), (3, 9), (4, 5), (4, 9), (5, 7), (5, 8), (7, 8)]",1075,16067,"[((1, 9, 1), (1, 8, 1), (6, 7, 1))]",14517,"[(1, 9), (1, 6), (7, 8)]",0.018313169479370117,15293,"[(1, 6), (8, 9), (1, 7)]",0.2548980712890625,12463,"{(6, 9), (1, 6), (6, 7)}",0.15487957000732422
"[(0, 2), (0, 6), (0, 9), (1, 2), (1, 3), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9)]",576,6240,"[((0, 6, 1), (0, 9, 1), (7, 8, 1))]",6240,"[(0, 6), (1, 8), (0, 9)]",0.0232083797454834,6240,"[(0, 9), (0, 6), (7, 8)]",0.3764340877532959,5520,"{(0, 1), (4, 7), (5, 7)}",0.12328433990478516
"[(0, 2), (0, 3), (0, 4), (0, 6), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 9), (3, 5), (3, 7), (4, 9), (5, 7), (5, 8), (6, 8), (6, 9)]",1041,14722,"[((1, 4, 1), (1, 8, 1), (7, 9, 1))]",14040,"[(1, 7), (1, 8), (4, 9)]",0.016143083572387695,14040,"[(1, 7), (1, 8), (4, 9)]",0.2594904899597168,11493,"{(0, 1), (4, 7), (1, 7)}",0.13827013969421387
"[(0, 2), (0, 8), (0, 6), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (2, 3), (2, 4), (2, 7), (2, 9), (3, 7), (4, 5), (4, 8), (5, 6)]",788,10199,"[((0, 6, 1), (0, 9, 1), (7, 8, 1))]",10176,"[(0, 8), (0, 6), (3, 7)]",0.005535602569580078,10176,"[(0, 6), (0, 8), (7, 9)]",0.2527885437011719,8743,"{(0, 6), (6, 9), (5, 7)}",0.13102364540100098
"[(0, 2), (0, 7), (0, 5), (1, 2), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (2, 3), (2, 4), (3, 4), (3, 5), (3, 7), (4, 6), (4, 9), (6, 8), (8, 9)]",1028,14277,"[((0, 7, 1), (0, 5, 1), (0, 9, 1))]",13680,"[(0, 7), (0, 5), (4, 9)]",0.0059413909912109375,14277,"[(0, 9), (0, 5), (0, 7)]",0.24901962280273438,11006,"{(0, 9), (0, 5), (0, 1)}",0.17325639724731445
"[(0, 2), (0, 3), (0, 4), (0, 6), (1, 2), (1, 5), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (2, 7), (2, 8), (3, 8), (4, 9), (5, 9), (6, 9), (7, 8), (8, 9)]",1550,15801,"[((3, 7, 1), (5, 9, 1), (8, 9, 1))]",15780,"[(5, 9), (3, 8), (8, 9)]",0.007940530776977539,15685,"[(8, 9), (3, 5), (5, 9)]",0.2515096664428711,12609,"{(8, 9), (4, 7), (5, 7)}",0.12959527969360352
"[(0, 2), (0, 3), (0, 4), (0, 8), (0, 9), (1, 2), (1, 9), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (4, 5), (6, 7)]",828,11391,"[((1, 9, 1), (1, 8, 1), (4, 7, 1))]",10980,"[(1, 9), (1, 7), (4, 5)]",0.023883342742919922,11012,"[(1, 7), (1, 8), (5, 9)]",0.38370585441589355,8700,"{(0, 1), (5, 7), (1, 7)}",0.1330275535583496
"[(0, 2), (0, 3), (0, 6), (0, 4), (1, 2), (1, 4), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (2, 8), (2, 9), (3, 5), (3, 8), (5, 7), (6, 7), (6, 9), (8, 9)]",1280,13356,"[((4, 9, 1), (5, 7, 1), (7, 8, 1))]",13050,"[(5, 7), (8, 9), (0, 4)]",0.024578571319580078,13260,"[(7, 8), (4, 5), (4, 9)]",0.37233686447143555,11214,"{(0, 1), (5, 7), (7, 8)}",0.1361691951751709
"[(0, 2), (0, 5), (0, 7), (1, 2), (1, 3), (1, 7), (1, 8), (2, 3), (2, 4), (2, 9), (3, 4), (3, 5), (3, 6), (4, 9), (5, 6), (5, 8), (6, 8), (7, 9), (8, 9)]",1628,18103,"[((6, 7, 1), (7, 9, 1), (8, 9, 1))]",17770,"[(8, 9), (7, 9), (1, 8)]",0.02215290069580078,18082,"[(8, 9), (7, 8), (4, 7)]",0.2586934566497803,14512,"{(8, 9), (4, 7), (2, 7)}",0.1243743896484375
"[(0, 2), (0, 3), (0, 6), (1, 2), (1, 5), (1, 8), (2, 3), (2, 4), (2, 6), (2, 7), (2, 9), (3, 4), (3, 5), (3, 7), (4, 7), (5, 8), (6, 9), (7, 8), (8, 9)]",1468,14611,"[((4, 9, 1), (5, 6, 1), (7, 8, 1))]",13320,"[(6, 9), (4, 7), (7, 8)]",0.008719921112060547,13320,"[(6, 9), (4, 7), (7, 8)]",0.26140689849853516,11966,"{(0, 1), (5, 7), (6, 8)}",0.13193464279174805
"[(0, 2), (0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (1, 5), (1, 7), (1, 9), (2, 4), (2, 5), (2, 6), (2, 8), (2, 9), (3, 7), (4, 8), (5, 8), (6, 7), (8, 9)]",1332,14246,"[((4, 9, 1), (6, 7, 1), (7, 8, 1))]",13515,"[(6, 7), (4, 8), (8, 9)]",0.015415191650390625,14246,"[(7, 8), (6, 9), (4, 7)]",0.2382497787475586,10988,"{(4, 7), (5, 7), (7, 8)}",0.13861680030822754
"[(0, 2), (0, 3), (0, 9), (1, 2), (1, 4), (1, 9), (1, 6), (2, 3), (2, 4), (2, 5), (3, 5), (3, 6), (3, 7), (3, 8), (4, 7), (5, 6), (5, 7), (6, 8), (8, 9)]",1329,16532,"[((1, 7, 1), (4, 8, 1), (6, 9, 1))]",16044,"[(4, 7), (8, 9), (1, 6)]",0.017465591430664062,16044,"[(8, 9), (4, 7), (1, 6)]",0.25681591033935547,13200,"{(8, 9), (4, 7), (2, 7)}",0.13030314445495605
"[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (1, 2), (1, 6), (1, 7), (2, 3), (2, 8), (2, 9), (3, 4), (3, 5), (3, 7), (4, 9), (5, 6), (7, 8), (8, 9)]",992,15061,"[((1, 6, 1), (1, 4, 1), (6, 9, 1))]",14661,"[(1, 6), (4, 9), (1, 7)]",0.01275181770324707,14661,"[(1, 6), (4, 9), (1, 7)]",0.38289475440979004,13941,"{(6, 9), (1, 6), (4, 9)}",0.14146757125854492
"[(0, 2), (0, 3), (0, 4), (0, 7), (1, 2), (1, 9), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (2, 8), (3, 6), (3, 9), (4, 5), (5, 8), (5, 9), (6, 7), (7, 8)]",1200,16083,"[((1, 9, 1), (1, 7, 1), (7, 8, 1))]",16083,"[(1, 9), (1, 7), (7, 8)]",0.004521846771240234,16083,"[(1, 7), (1, 9), (7, 8)]",0.12189793586730957,13093,"{(8, 9), (6, 9), (1, 7)}",0.1415107250213623
"[(0, 2), (0, 3), (0, 4), (0, 6), (1, 2), (1, 4), (1, 7), (1, 6), (2, 3), (2, 5), (2, 7), (2, 9), (3, 5), (4, 9), (4, 8), (5, 6), (5, 8), (6, 9), (7, 8)]",2016,18562,"[((4, 8, 1), (4, 9, 1), (6, 7, 1))]",18338,"[(4, 9), (4, 8), (1, 6)]",0.02066826820373535,18562,"[(4, 8), (8, 9), (1, 6)]",0.3794846534729004,13440,"{(0, 1), (5, 7), (4, 8)}",0.1343371868133545
"[(0, 2), (0, 4), (0, 7), (1, 2), (1, 3), (1, 8), (2, 3), (2, 5), (2, 6), (2, 9), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (4, 5), (6, 9), (7, 8)]",1152,11184,"[((4, 6, 1), (5, 7, 1), (8, 9, 1))]",10952,"[(7, 8), (6, 9), (4, 5)]",0.03233838081359863,10952,"[(7, 8), (4, 6), (5, 9)]",0.2633199691772461,9108,"{(0, 1), (5, 7), (7, 8)}",0.126875638961792
"[(0, 2), (0, 3), (0, 5), (1, 2), (1, 6), (1, 8), (1, 9), (2, 3), (2, 4), (2, 5), (2, 7), (3, 4), (3, 6), (4, 6), (4, 7), (4, 9), (5, 8), (5, 9), (7, 8)]",1250,16892,"[((1, 6, 1), (1, 9, 1), (6, 8, 1))]",16618,"[(1, 6), (1, 8), (1, 9)]",0.015987873077392578,16618,"[(1, 8), (1, 6), (1, 9)]",0.25496721267700195,15100,"{(0, 1), (1, 8), (6, 9)}",0.12914013862609863
"[(0, 2), (0, 7), (0, 8), (0, 9), (1, 2), (1, 3), (1, 4), (1, 6), (1, 7), (1, 8), (1, 9), (2, 3), (3, 4), (3, 5), (3, 7), (4, 5), (5, 6), (5, 8), (6, 9)]",1004,15180,"[((0, 7, 1), (0, 8, 1), (0, 9, 1))]",15180,"[(0, 7), (0, 8), (0, 9)]",0.007443904876708984,15180,"[(0, 9), (0, 8), (0, 7)]",0.25414252281188965,11555,"{(0, 9), (0, 8), (0, 1)}",0.17995262145996094
"[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (1, 2), (1, 6), (1, 9), (2, 3), (2, 4), (2, 5), (2, 9), (3, 6), (3, 7), (4, 7), (4, 8), (4, 9), (5, 8), (7, 8)]",1005,14487,"[((1, 5, 1), (1, 8, 1), (6, 9, 1))]",14464,"[(1, 6), (5, 8), (1, 9)]",0.012767791748046875,14396,"[(1, 8), (1, 6), (5, 9)]",0.2525787353515625,13564,"{(6, 9), (1, 8), (5, 7)}",0.12966680526733398
"[(0, 2), (0, 3), (0, 4), (0, 6), (0, 7), (1, 2), (1, 5), (1, 6), (2, 3), (2, 7), (2, 8), (3, 4), (3, 5), (3, 6), (3, 8), (3, 9), (4, 5), (7, 9), (8, 9)]",891,13286,"[((1, 6, 1), (1, 5, 1), (7, 9, 1))]",13286,"[(1, 5), (1, 6), (7, 9)]",0.007148265838623047,12557,"[(1, 5), (1, 9), (6, 7)]",0.251558780670166,11729,"{(1, 5), (6, 9), (5, 7)}",0.13245701789855957
"[(0, 2), (0, 4), (0, 5), (0, 6), (0, 9), (1, 2), (1, 3), (1, 5), (2, 3), (2, 4), (2, 8), (3, 6), (3, 7), (4, 8), (5, 7), (5, 9), (6, 7), (7, 8), (8, 9)]",1822,18705,"[((4, 7, 1), (6, 8, 1), (8, 9, 1))]",18017,"[(8, 9), (6, 7), (7, 8)]",0.016138315200805664,18289,"[(7, 8), (6, 9), (8, 9)]",0.2547919750213623,16849,"{(4, 7), (6, 9), (7, 8)}",0.1338040828704834
"[(0, 2), (0, 9), (0, 5), (1, 2), (1, 3), (1, 4), (1, 5), (1, 7), (1, 9), (2, 3), (2, 4), (2, 6), (2, 8), (3, 5), (4, 6), (6, 7), (6, 8), (6, 9), (7, 8)]",1028,14325,"[((0, 7, 1), (0, 9, 1), (5, 8, 1))]",13660,"[(0, 9), (0, 5), (7, 8)]",0.005383729934692383,13660,"[(0, 5), (0, 9), (7, 8)]",0.2485954761505127,13100,"{(0, 9), (5, 7), (0, 5)}",0.146437406539917
"[(0, 2), (0, 3), (0, 8), (1, 2), (1, 4), (1, 6), (2, 3), (2, 5), (2, 7), (3, 4), (3, 5), (4, 6), (4, 7), (5, 9), (5, 8), (6, 8), (6, 9), (7, 9), (7, 8)]",2290,19968,"[((0, 9, 1), (5, 8, 1), (7, 9, 1))]",19808,"[(7, 9), (7, 8), (5, 8)]",0.010218381881713867,19968,"[(7, 9), (5, 8), (0, 9)]",0.36063170433044434,17312,"{(0, 1), (5, 7), (7, 8)}",0.13437604904174805
"[(0, 2), (0, 8), (0, 9), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 9), (2, 3), (2, 4), (2, 5), (2, 9), (3, 6), (4, 8), (5, 8), (6, 7), (7, 8)]",1028,13173,"[((0, 8, 1), (0, 9, 1), (4, 8, 1))]",13173,"[(0, 8), (0, 9), (4, 8)]",0.005177974700927734,13173,"[(0, 8), (0, 9), (4, 8)]",0.12569427490234375,12885,"{(0, 9), (4, 7), (0, 8)}",0.13216733932495117
"[(0, 2), (0, 3), (0, 7), (1, 2), (1, 4), (1, 9), (2, 3), (2, 5), (2, 6), (3, 4), (3, 6), (4, 5), (4, 7), (4, 8), (4, 9), (5, 7), (5, 8), (5, 9), (6, 8)]",1264,15024,"[((0, 9, 1), (1, 7, 1), (6, 8, 1))]",15024,"[(6, 8), (0, 7), (1, 9)]",0.023030519485473633,15024,"[(6, 8), (0, 9), (1, 7)]",0.24425506591796875,12247,"{(0, 1), (6, 9), (2, 7)}",0.10732007026672363
"[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (1, 2), (1, 5), (1, 9), (2, 3), (2, 6), (3, 4), (3, 8), (4, 7), (5, 8), (5, 7), (6, 7), (6, 8), (7, 9), (8, 9)]",1967,20148,"[((1, 4, 1), (1, 9, 1), (5, 8, 1))]",19833,"[(1, 9), (5, 8), (5, 7)]",0.0060312747955322266,20006,"[(1, 9), (5, 7), (1, 4)]",0.342318058013916,20006,"{(5, 7), (1, 9), (1, 4)}",0.1530604362487793
"[(0, 2), (0, 9), (0, 8), (1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (2, 6), (2, 8), (3, 5), (3, 7), (4, 5), (4, 7), (4, 8), (5, 6), (5, 9), (6, 7), (7, 9)]",1313,17026,"[((0, 6, 1), (0, 9, 1), (8, 9, 1))]",16712,"[(0, 9), (0, 8), (6, 7)]",0.009037971496582031,16712,"[(0, 9), (0, 8), (6, 7)]",0.11719441413879395,15392,"{(0, 9), (0, 1), (6, 7)}",0.13439393043518066
"[(0, 2), (0, 3), (0, 8), (1, 2), (1, 5), (1, 6), (2, 3), (2, 4), (2, 9), (3, 4), (3, 6), (3, 7), (4, 5), (4, 8), (5, 9), (6, 7), (6, 9), (7, 8), (8, 9)]",1973,19252,"[((5, 7, 1), (6, 8, 1), (8, 9, 1))]",18802,"[(7, 8), (6, 9), (8, 9)]",0.015773773193359375,19113,"[(7, 9), (7, 8), (1, 8)]",0.37285327911376953,15966,"{(0, 1), (5, 7), (7, 9)}",0.10719513893127441
"[(0, 2), (0, 4), (0, 5), (0, 6), (1, 2), (1, 3), (1, 5), (2, 3), (2, 4), (2, 6), (3, 5), (3, 7), (3, 9), (4, 7), (4, 8), (6, 9), (6, 7), (7, 8), (8, 9)]",1846,18262,"[((1, 8, 1), (5, 7, 1), (6, 9, 1))]",17236,"[(6, 9), (1, 5), (6, 7)]",0.00722813606262207,18004,"[(6, 9), (1, 5), (1, 8)]",0.11715388298034668,16618,"{(0, 1), (6, 9), (5, 7)}",0.11143708229064941
"[(0, 2), (0, 3), (0, 6), (0, 7), (1, 2), (1, 4), (1, 9), (2, 3), (2, 4), (2, 5), (2, 8), (3, 5), (4, 6), (4, 7), (4, 8), (4, 9), (5, 6), (5, 7), (8, 9)]",1412,14701,"[((0, 6, 1), (1, 7, 1), (3, 9, 1))]",13752,"[(0, 6), (1, 9), (0, 7)]",0.01800704002380371,14645,"[(0, 9), (1, 7), (0, 6)]",0.2594771385192871,11759,"{(0, 9), (0, 1), (2, 7)}",0.12128615379333496
"[(0, 2), (0, 8), (0, 7), (1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 5), (3, 6), (3, 7), (4, 9), (5, 9), (6, 9), (8, 9)]",1164,12876,"[((0, 9, 1), (5, 8, 1), (7, 9, 1))]",12876,"[(8, 9), (0, 7), (5, 9)]",0.019613265991210938,12876,"[(8, 9), (0, 5), (7, 9)]",0.26286864280700684,10656,"{(0, 9), (5, 7), (0, 1)}",0.1315629482269287
