added,edges,eigenvalues,span_trees
"(3, 9, 1)","[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (3, 9), (4, 7), (5, 12), (11, 14)]","[1.00618983e+01 4.90965499e+00 2.61803399e+00 2.50283275e+00
 2.44719431e+00 1.60508969e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 7.03976414e-01 5.12565863e-01
 3.81966011e-01 2.56787714e-01 5.37435485e-17]",3
"(3, 12, 1)","[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (3, 12), (4, 7), (5, 12), (11, 14)]","[ 1.00849856e+01  4.67028509e+00  3.00000000e+00  2.61803399e+00
  2.48088368e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  5.14188643e-01
  3.81966011e-01  2.49656974e-01 -3.82670753e-16]",3
"(3, 4, 1)","[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (3, 4), (4, 7), (5, 12), (11, 14)]","[1.00608629e+01 5.09920747e+00 3.03016427e+00 2.54550754e+00
 2.22346444e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 7.57958018e-01 5.77544594e-01
 4.39384750e-01 2.65906037e-01 9.56945172e-17]",3
"(3, 11, 1)","[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (3, 11), (4, 7), (5, 12), (11, 14)]","[1.00608629e+01 5.09920747e+00 3.03016427e+00 2.54550754e+00
 2.22346444e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 7.57958018e-01 5.77544594e-01
 4.39384750e-01 2.65906037e-01 3.45505521e-16]",3
"(3, 14, 1)","[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (3, 14), (4, 7), (5, 12), (11, 14)]","[ 1.00908005e+01  4.84697321e+00  2.86941874e+00  2.54359641e+00
  2.30071847e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  6.50944209e-01
  4.45801669e-01  2.51746789e-01 -5.22671225e-16]",4
"(3, 13, 1)","[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (3, 13), (4, 7), (5, 12), (11, 14)]","[ 1.00618983e+01  4.90965499e+00  2.61803399e+00  2.50283275e+00
  2.44719431e+00  1.60508969e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  7.03976414e-01  5.12565863e-01
  3.81966011e-01  2.56787714e-01 -6.91086662e-16]",3
"(3, 8, 1)","[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (3, 8), (4, 7), (5, 12), (11, 14)]","[1.00618983e+01 4.90965499e+00 2.61803399e+00 2.50283275e+00
 2.44719431e+00 1.60508969e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 7.03976414e-01 5.12565863e-01
 3.81966011e-01 2.56787714e-01 2.73981457e-16]",3
"(4, 8, 1)","[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (4, 7), (4, 8), (5, 12), (11, 14)]","[1.00606140e+01 3.90872179e+00 3.83205783e+00 2.55491919e+00
 2.19511959e+00 1.57083127e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 6.75686049e-01 5.83143477e-01
 4.08115255e-01 2.10791511e-01 6.04975988e-16]",3
"(4, 13, 1)","[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (4, 7), (4, 13), (5, 12), (11, 14)]","[ 1.00606140e+01  3.90872179e+00  3.83205783e+00  2.55491919e+00
  2.19511959e+00  1.57083127e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.75686049e-01  5.83143477e-01
  4.08115255e-01  2.10791511e-01 -1.58550794e-16]",3
"(4, 10, 1)","[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (4, 7), (4, 10), (5, 12), (11, 14)]","[ 1.00606140e+01  3.90872179e+00  3.83205783e+00  2.55491919e+00
  2.19511959e+00  1.57083127e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.75686049e-01  5.83143477e-01
  4.08115255e-01  2.10791511e-01 -7.39907564e-16]",3
