added,edges,eigenv_1,eigenv_2,eigenv_3,eigenv_4,eigenv_5,eigenv_6,eigenv_7,eigenv_8,eigenv_9,eigenv_10,eigenv_11,eigenv_12,eigenv_13,eigenv_14,eigenv_15,span_trees
"(0, 5, 1)","[(0, 2), (0, 4), (0, 5), (1, 2), (1, 3), (1, 8), (1, 9), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 11), (2, 14), (3, 5), (3, 6), (3, 7), (3, 11), (3, 12), (3, 13), (4, 7), (5, 6), (6, 13), (7, 10), (8, 9), (8, 12), (8, 14)]",10.324062702042784,8.880053462042916,5.958416206521941,5.112048695092049,4.295522921031399,4.046778415597701,3.333585694356344,2.771117447714022,1.9282359129725126,1.8736071819231375,1.7801080410053267,1.7071292955295119,1.0737191351377815,0.9156148890325579,-9.892347403872958e-16,322662
"(0, 8, 1)","[(0, 2), (0, 4), (0, 8), (1, 2), (1, 3), (1, 8), (1, 9), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 11), (2, 14), (3, 5), (3, 6), (3, 7), (3, 11), (3, 12), (3, 13), (4, 7), (5, 6), (6, 13), (7, 10), (8, 9), (8, 12), (8, 14)]",10.329635009990728,8.857446822180147,6.984205614617055,4.4320778915892305,4.236676836107458,4.054599774217632,3.1294160258406882,2.4928588690128826,1.9999999999999987,1.8803399315154476,1.8583450377838053,1.7255931699632145,1.1105230493644695,0.9082819678172628,5.792776371363381e-16,307780
"(0, 13, 1)","[(0, 2), (0, 4), (0, 13), (1, 2), (1, 3), (1, 8), (1, 9), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 11), (2, 14), (3, 5), (3, 6), (3, 7), (3, 11), (3, 12), (3, 13), (4, 7), (5, 6), (6, 13), (7, 10), (8, 9), (8, 12), (8, 14)]",10.346180680710324,8.856569681382892,5.958888310934244,4.819962747146903,4.288158341995473,4.058778918050441,3.3360843793959067,2.7593252025285686,2.0,1.8789406003889777,1.8027849474582882,1.7308615748704652,1.2481391509171527,0.9153254642203101,-8.764160028946695e-16,376580
"(1, 6, 1)","[(0, 2), (0, 4), (1, 2), (1, 3), (1, 8), (1, 9), (1, 6), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 11), (2, 14), (3, 5), (3, 6), (3, 7), (3, 11), (3, 12), (3, 13), (4, 7), (5, 6), (6, 13), (7, 10), (8, 9), (8, 12), (8, 14)]",10.341543712203329,8.89386734157147,6.330250547603225,5.264086365515569,4.282976676885608,4.229537012484236,2.9361324687354093,2.527574144458663,1.911723407667161,1.8884791272706387,1.7436009309359435,1.571892652637769,1.1710249980930287,0.9073106139379473,1.866804760035542e-15,288786
"(1, 11, 1)","[(0, 2), (0, 4), (1, 2), (1, 3), (1, 8), (1, 9), (1, 11), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 11), (2, 14), (3, 5), (3, 6), (3, 7), (3, 11), (3, 12), (3, 13), (4, 7), (5, 6), (6, 13), (7, 10), (8, 9), (8, 12), (8, 14)]",10.323588715744004,8.861842278303635,6.269504542448482,5.087732436550674,4.292095039159833,4.1817907371474226,2.936238126221184,2.6017769957094803,2.315973730116887,1.8901327536151504,1.8069664006323232,1.5677496211741728,0.9613059819962457,0.9033026411805684,9.514935726853533e-16,287251
"(1, 14, 1)","[(0, 2), (0, 4), (1, 2), (1, 3), (1, 8), (1, 9), (1, 14), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 11), (2, 14), (3, 5), (3, 6), (3, 7), (3, 11), (3, 12), (3, 13), (4, 7), (5, 6), (6, 13), (7, 10), (8, 9), (8, 12), (8, 14)]",10.325128270837903,8.911756411574029,5.987614900673546,5.319956538407107,4.287681276841694,4.184149303159769,2.942252085465798,2.5595900758180186,2.4225022291927325,1.8825651319764283,1.7833540265601346,1.5691164505246633,0.9170003770897133,0.9073329218784922,-1.3568976567183497e-15,280319
"(1, 4, 1)","[(0, 2), (0, 4), (1, 2), (1, 3), (1, 8), (1, 9), (1, 4), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 11), (2, 14), (3, 5), (3, 6), (3, 7), (3, 11), (3, 12), (3, 13), (4, 7), (5, 6), (6, 13), (7, 10), (8, 9), (8, 12), (8, 14)]",10.329860724898557,8.929796785966305,6.235018255266977,5.388827976422232,4.279835630508381,4.100067509120255,3.0575523154623685,2.495898035684977,1.9138578900654144,1.8826414584986049,1.7443544860335514,1.611821712949778,1.121948502738817,0.9085187163837762,-1.921347582538032e-16,285714
"(1, 12, 1)","[(0, 2), (0, 4), (1, 2), (1, 3), (1, 8), (1, 9), (1, 12), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 11), (2, 14), (3, 5), (3, 6), (3, 7), (3, 11), (3, 12), (3, 13), (4, 7), (5, 6), (6, 13), (7, 10), (8, 9), (8, 12), (8, 14)]",10.34333197550186,8.877733671865023,6.0246279780475,5.300281587718764,4.292410860548335,4.173510761005685,2.9406996171518904,2.5416175963749543,2.4655846839456212,1.876169863332368,1.7720358741655493,1.5682387549474461,0.9160311564222815,0.9077256189727585,-6.524320254964575e-16,279773
"(1, 7, 1)","[(0, 2), (0, 4), (1, 2), (1, 3), (1, 8), (1, 9), (1, 7), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 11), (2, 14), (3, 5), (3, 6), (3, 7), (3, 11), (3, 12), (3, 13), (4, 7), (5, 6), (6, 13), (7, 10), (8, 9), (8, 12), (8, 14)]",10.351304328930484,8.875985397309364,6.385072495820794,5.225829595347291,4.23562672241534,4.160548453217935,3.092308006215238,2.4963838060461447,1.911456371067001,1.8844183330115647,1.7466098745483034,1.6341155247539076,1.093921143835177,0.9064199474814806,-1.4126622775481585e-15,283426
"(1, 5, 1)","[(0, 2), (0, 4), (1, 2), (1, 3), (1, 8), (1, 9), (1, 5), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 11), (2, 14), (3, 5), (3, 6), (3, 7), (3, 11), (3, 12), (3, 13), (4, 7), (5, 6), (6, 13), (7, 10), (8, 9), (8, 12), (8, 14)]",10.324070807780076,8.858958814416027,6.356874600587493,5.366017731630009,4.284455992549952,4.065974937579575,2.936153885385662,2.7667227274423714,1.893129919408981,1.879546294915434,1.7594158985322632,1.569414014822814,1.0341577015483956,0.905106673401017,1.1946812901532386e-16,270688
"(1, 10, 1)","[(0, 2), (0, 4), (1, 2), (1, 3), (1, 8), (1, 9), (1, 10), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 11), (2, 14), (3, 5), (3, 6), (3, 7), (3, 11), (3, 12), (3, 13), (4, 7), (5, 6), (6, 13), (7, 10), (8, 9), (8, 12), (8, 14)]",10.329075484375739,8.924811972660462,6.177759596074667,5.096765786834994,4.294745886469392,4.155923668971155,3.128776978262196,2.494384793849733,1.9999999999999991,1.8889760363584263,1.8100743892195381,1.7309366016334915,1.060215300622026,0.9075535046682028,-1.2456667245231559e-15,307000
"(1, 13, 1)","[(0, 2), (0, 4), (1, 2), (1, 3), (1, 8), (1, 9), (1, 13), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 11), (2, 14), (3, 5), (3, 6), (3, 7), (3, 11), (3, 12), (3, 13), (4, 7), (5, 6), (6, 13), (7, 10), (8, 9), (8, 12), (8, 14)]",10.335934976575233,8.884624369469636,6.267624088597698,5.110867010271192,4.287796772867705,4.089141342532647,2.9464236470282397,2.8141464279133803,1.931280007248081,1.889590049745202,1.7419594329815935,1.5725522083252383,1.2200090660219756,0.9080506004221743,-2.6863839408079775e-15,315742
"(2, 13, 1)","[(0, 2), (0, 4), (1, 2), (1, 3), (1, 8), (1, 9), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 11), (2, 14), (2, 13), (3, 5), (3, 6), (3, 7), (3, 11), (3, 12), (3, 13), (4, 7), (5, 6), (6, 13), (7, 10), (8, 9), (8, 12), (8, 14)]",11.181017578672893,9.013115377698348,5.9573286194261295,4.382139530703408,4.262910801658251,4.019293418976332,2.9999999999999996,2.9359530675608836,1.9138178785562643,1.890337635522989,1.7900434900750477,1.56806232091965,1.1732402643345536,0.9127400158952229,-1.1764242615620335e-15,287826
"(2, 6, 1)","[(0, 2), (0, 4), (1, 2), (1, 3), (1, 8), (1, 9), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 11), (2, 14), (2, 6), (3, 5), (3, 6), (3, 7), (3, 11), (3, 12), (3, 13), (4, 7), (5, 6), (6, 13), (7, 10), (8, 9), (8, 12), (8, 14)]",11.165586316541027,9.009945077027814,5.957280595306614,4.862896027349007,4.2823517366368575,4.103315198841926,2.937838075136811,2.5249651287753365,1.890373405793202,1.8874398982861986,1.770267838034094,1.567889763200026,1.1271288754958986,0.9127220635751948,6.966030963096767e-16,258014
"(2, 12, 1)","[(0, 2), (0, 4), (1, 2), (1, 3), (1, 8), (1, 9), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 11), (2, 14), (2, 12), (3, 5), (3, 6), (3, 7), (3, 11), (3, 12), (3, 13), (4, 7), (5, 6), (6, 13), (7, 10), (8, 9), (8, 12), (8, 14)]",11.144249868953857,9.028234867316389,6.013182147541381,4.302576144178553,4.235123853890304,4.116033335512201,2.9360530645696206,2.6882013141269487,2.471400280206417,1.8746392412682364,1.7503327923695629,1.5707060982947867,0.9606809373557241,0.9085860544160891,-2.558477396763438e-16,265453
"(2, 9, 1)","[(0, 2), (0, 4), (1, 2), (1, 3), (1, 8), (1, 9), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 11), (2, 14), (2, 9), (3, 5), (3, 6), (3, 7), (3, 11), (3, 12), (3, 13), (4, 7), (5, 6), (6, 13), (7, 10), (8, 9), (8, 12), (8, 14)]",11.183293074194479,8.932065814239337,5.997725433592109,4.4909445922975335,4.2720803595129375,4.194822336184457,2.94129697150673,2.50646552371028,2.1874388979932715,1.8902122429326593,1.8517283178416348,1.5692906880911528,1.0787127692566487,0.9039229786467935,-2.298998619351124e-16,277634
"(2, 7, 1)","[(0, 2), (0, 4), (1, 2), (1, 3), (1, 8), (1, 9), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 11), (2, 14), (2, 7), (3, 5), (3, 6), (3, 7), (3, 11), (3, 12), (3, 13), (4, 7), (5, 6), (6, 13), (7, 10), (8, 9), (8, 12), (8, 14)]",11.128979447503099,9.04179378530646,5.957690316523656,4.840576844399734,4.247127327905283,4.039135678944324,3.1836930029879613,2.49924947252098,1.9143672223013328,1.875303214129634,1.768008128336775,1.6370661053279083,0.9599862226989857,0.907023231113901,8.192809373865587e-16,238918
"(3, 10, 1)","[(0, 2), (0, 4), (1, 2), (1, 3), (1, 8), (1, 9), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 11), (2, 14), (3, 5), (3, 6), (3, 7), (3, 11), (3, 12), (3, 13), (3, 10), (4, 7), (5, 6), (6, 13), (7, 10), (8, 9), (8, 12), (8, 14)]",10.526178207269888,9.622832426380224,5.970148439574457,4.456773953618088,4.2491169953802315,4.035416351444088,3.294973499994461,2.4945799258360135,1.9999999999999987,1.880825289631821,1.8147086779450903,1.7271736784635492,1.0126883685358306,0.9145841859262936,-6.822178646490065e-16,276532
