added,edges,eigenvalues,span_trees
"(1, 13, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (1, 13), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[8.50266286e+00 7.02262547e+00 6.30789458e+00 5.32448129e+00
 5.13635596e+00 4.11215083e+00 3.89976416e+00 3.43884028e+00
 2.60550709e+00 2.19838134e+00 1.87254380e+00 1.78439858e+00
 9.05264377e-01 8.89129403e-01 3.83300581e-16]",583390
"(2, 8, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (2, 8), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[ 9.24189487e+00  7.25291165e+00  6.42847205e+00  5.53592649e+00
  5.16967389e+00  4.06044333e+00  3.47794715e+00  2.93552623e+00
  2.36265541e+00  2.00000000e+00  1.94531664e+00  1.71546525e+00
  1.03697860e+00  8.36788440e-01 -1.36669593e-15]",466352
"(2, 13, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (2, 13), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[ 9.28550767e+00  7.08441351e+00  6.34353414e+00  5.24955505e+00
  5.06873531e+00  4.05512737e+00  3.47896005e+00  2.93981699e+00
  2.71023042e+00  2.29174939e+00  1.87939122e+00  1.73584321e+00
  9.92465619e-01  8.84670046e-01 -2.17928655e-15]",546190
"(2, 14, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (2, 14), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[9.28550767e+00 7.08441351e+00 6.34353414e+00 5.24955505e+00
 5.06873531e+00 4.05512737e+00 3.47896005e+00 2.93981699e+00
 2.71023042e+00 2.29174939e+00 1.87939122e+00 1.73584321e+00
 9.92465619e-01 8.84670046e-01 1.36692765e-16]",546190
"(2, 12, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (2, 12), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[9.25776225e+00 7.14354135e+00 6.31659671e+00 5.26838327e+00
 5.06303495e+00 4.10238582e+00 3.46809934e+00 3.08886467e+00
 2.44713356e+00 2.09518471e+00 2.00000000e+00 1.82015965e+00
 1.07448920e+00 8.54364529e-01 2.21944053e-15]",559360
"(2, 9, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (2, 9), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[ 9.40729410e+00  7.04678793e+00  6.33317421e+00  5.16993507e+00
  4.99263787e+00  4.44827518e+00  3.52918248e+00  3.00734682e+00
  2.49780125e+00  2.00000000e+00  1.93635797e+00  1.71524066e+00
  1.07926191e+00  8.36704550e-01 -5.15329974e-16]",511032
"(2, 10, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (2, 10), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[9.34135683e+00 7.18696975e+00 6.31795701e+00 5.21647872e+00
 5.01414426e+00 4.38690474e+00 3.46836602e+00 2.93952125e+00
 2.52377588e+00 2.00000000e+00 1.88884464e+00 1.68731523e+00
 1.18741454e+00 8.40951130e-01 4.29784204e-18]",531400
"(2, 7, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (2, 7), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[9.24874072e+00 8.00605007e+00 6.30801515e+00 5.17042659e+00
 4.96900098e+00 4.06785366e+00 3.48515518e+00 2.94242242e+00
 2.39284879e+00 2.00000000e+00 1.87290233e+00 1.68723611e+00
 9.82692667e-01 8.66655317e-01 5.82501880e-16]",429824
"(3, 7, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (3, 7), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[8.90769447e+00 7.63823501e+00 6.34786655e+00 5.58837336e+00
 4.96813069e+00 4.04621090e+00 3.46865418e+00 3.02962034e+00
 2.47525471e+00 2.00000000e+00 1.88033129e+00 1.73921449e+00
 1.02029336e+00 8.90120633e-01 3.04008783e-16]",499784
"(3, 10, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (3, 10), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[ 8.46162508e+00  7.02438058e+00  6.68052753e+00  5.73175559e+00
  5.00949270e+00  4.49803648e+00  3.49362645e+00  2.95865179e+00
  2.62591637e+00  2.00000000e+00  1.90024237e+00  1.72277264e+00
  1.05634326e+00  8.36629171e-01 -2.97364293e-15]",536960
"(3, 9, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (3, 9), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[ 8.43817643e+00  7.29139699e+00  6.60445031e+00  5.69484409e+00
  4.96818766e+00  4.20976916e+00  3.47820848e+00  2.94789656e+00
  2.74828679e+00  2.00000000e+00  1.98627339e+00  1.77580582e+00
  1.01231047e+00  8.44393867e-01 -3.89192380e-15]",548272
"(3, 4, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (3, 4), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[ 8.43104079e+00  7.02212219e+00  6.52663748e+00  5.69642314e+00
  4.97541786e+00  4.05027646e+00  4.00000000e+00  3.13521188e+00
  2.67655010e+00  2.00000000e+00  1.94850369e+00  1.71345478e+00
  9.87612576e-01  8.36749052e-01 -1.43473833e-15]",547712
